                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.18637,                0.15013,                0.18292,                0.88149,                0.99644,                      1,                  0.995,                  0.995,                0.99644,                      1,                  0.995,                  0.995,                0.12548,                0.11124,                0.16747,                0.75672,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.2062,                0.18722,                  0.196,                0.88675,                0.99645,                      1,                  0.995,                  0.995,                0.99645,                      1,                  0.995,                  0.995,                0.14645,                0.11467,                0.15256,                0.76164,              0.0005348,              0.0005348,              0.0005348
                     76,                0.19844,                0.18744,                0.19338,                0.88413,                0.99661,                      1,                  0.995,                  0.995,                0.99661,                      1,                  0.995,                  0.995,                0.14675,                0.12009,                0.13739,                0.76963,               0.000515,               0.000515,               0.000515
                     77,                0.19695,                0.18046,                0.19072,                0.89923,                0.99659,                      1,                  0.995,                  0.995,                0.99659,                      1,                  0.995,                  0.995,                0.13272,                0.11532,                0.15882,                  0.763,              0.0004952,              0.0004952,              0.0004952
                     78,                0.17219,                0.15198,                0.16859,                0.88244,                0.99654,                      1,                  0.995,                  0.995,                0.99654,                      1,                  0.995,                  0.995,                0.11669,                0.11503,                0.12446,                0.75485,              0.0004754,              0.0004754,              0.0004754
                     79,                0.19109,                0.16817,                0.18327,                0.87445,                 0.9965,                      1,                  0.995,                  0.995,                 0.9965,                      1,                  0.995,                  0.995,                0.12121,                0.11765,                0.12538,                0.75078,              0.0004556,              0.0004556,              0.0004556
                     80,                0.19683,                0.18915,                0.18899,                0.89227,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                0.13276,                0.12691,                0.12168,                0.75742,              0.0004358,              0.0004358,              0.0004358
                     81,                0.20834,                0.15966,                 0.2022,                0.90238,                0.99668,                      1,                  0.995,                  0.995,                0.99668,                      1,                  0.995,                  0.995,                0.12193,                0.12421,                0.11949,                0.75782,               0.000416,               0.000416,               0.000416
                     82,                0.17223,                0.16687,                 0.1659,                0.88581,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                0.11668,                0.12042,                0.13207,                0.75319,              0.0003962,              0.0003962,              0.0003962
                     83,                0.18999,                0.16503,                0.18994,                0.89598,                0.99668,                      1,                  0.995,                  0.995,                0.99668,                      1,                  0.995,                  0.995,                0.13047,                0.12229,                0.13608,                0.75813,              0.0003764,              0.0003764,              0.0003764
                     84,                0.19303,                0.18223,                 0.1874,                0.89557,                0.99659,                      1,                  0.995,                  0.995,                0.99659,                      1,                  0.995,                  0.995,                0.11251,                0.11889,                0.10468,                0.75421,              0.0003566,              0.0003566,              0.0003566
                     85,                0.18263,                0.15402,                 0.1704,                0.87793,                 0.9966,                      1,                  0.995,                  0.995,                 0.9966,                      1,                  0.995,                  0.995,                0.13217,                0.11542,                0.11998,                0.76186,              0.0003368,              0.0003368,              0.0003368
                     86,                0.19308,                0.16606,                0.18787,                0.89451,                0.99657,                      1,                  0.995,                  0.995,                0.99657,                      1,                  0.995,                  0.995,                0.12553,                0.11164,                0.12767,                0.76058,               0.000317,               0.000317,               0.000317
                     87,                0.18561,                0.17235,                 0.1727,                0.87893,                 0.9966,                      1,                  0.995,                  0.995,                 0.9966,                      1,                  0.995,                  0.995,                0.11823,                0.11011,                 0.1216,                0.75625,              0.0002972,              0.0002972,              0.0002972
                     88,                0.17597,                0.15978,                 0.1773,                0.87237,                0.99668,                      1,                  0.995,                  0.995,                0.99668,                      1,                  0.995,                  0.995,                0.10669,                0.10788,                 0.1052,                 0.7433,              0.0002774,              0.0002774,              0.0002774
                     89,                0.19783,                0.16145,                  0.169,                0.89139,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                 0.1096,                0.10755,                0.10215,                0.74344,              0.0002576,              0.0002576,              0.0002576
                     90,                0.19859,                 0.1895,                 0.1761,                0.89975,                0.99675,                      1,                  0.995,                  0.995,                0.99675,                      1,                  0.995,                  0.995,                 0.1049,                0.10774,                0.11127,                0.74601,              0.0002378,              0.0002378,              0.0002378
                     91,                0.18964,                0.26351,                0.20232,                0.90363,                0.99675,                      1,                  0.995,                  0.995,                0.99675,                      1,                  0.995,                  0.995,                 0.1171,                0.11877,                0.12676,                0.74926,               0.000218,               0.000218,               0.000218
                     92,                0.15838,                0.10585,                0.16441,                0.91054,                0.99673,                      1,                  0.995,                  0.995,                0.99673,                      1,                  0.995,                  0.995,                0.10858,                0.12736,                0.12673,                 0.7512,              0.0001982,              0.0001982,              0.0001982
                     93,                0.25928,                 0.3554,                0.26995,                0.96986,                 0.9967,                      1,                  0.995,                  0.995,                 0.9967,                      1,                  0.995,                  0.995,                0.10309,                0.12243,                0.11989,                0.74763,              0.0001784,              0.0001784,              0.0001784
                     94,                0.11824,                0.10288,                0.13881,                 0.8374,                0.99669,                      1,                  0.995,                  0.995,                0.99669,                      1,                  0.995,                  0.995,                0.12785,                0.10685,                0.11555,                0.76271,              0.0001586,              0.0001586,              0.0001586
                     95,                0.14523,                0.17959,                0.16383,                0.87794,                 0.9967,                      1,                  0.995,                  0.995,                 0.9967,                      1,                  0.995,                  0.995,                0.11911,                0.10256,                0.10614,                0.75877,              0.0001388,              0.0001388,              0.0001388
                     96,                0.15075,                0.10566,                0.16572,                0.85836,                0.99674,                      1,                  0.995,                  0.995,                0.99674,                      1,                  0.995,                  0.995,                0.10841,                0.10201,                0.09943,                0.74896,               0.000119,               0.000119,               0.000119
                     97,                0.13804,                0.10911,                0.15029,                  0.845,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                0.12203,                0.10166,                0.11726,                0.75638,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.12071,                 0.1043,                0.14177,                 0.8356,                0.99671,                      1,                  0.995,                  0.995,                0.99671,                      1,                  0.995,                  0.995,                0.11844,                0.10149,                0.11241,                0.75712,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.12717,                0.10086,                0.15065,                0.87669,                0.99677,                      1,                  0.995,                  0.995,                0.99677,                      1,                  0.995,                  0.995,                0.10032,                0.10126,                0.10286,                0.74748,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.11252,                0.10674,                0.12305,                0.85198,                0.99675,                      1,                  0.995,                  0.995,                0.99675,                      1,                  0.995,                  0.995,                0.09154,                0.10108,                0.08919,                0.74302,               3.98e-05,               3.98e-05,               3.98e-05
